Date,Closing Price,Opening Price,High,Low,Trading Volume,Change %
04-01-21,"1,117.16","1,127.96","1,133.82","1,105.30",,-0.89%
05-01-21,"1,106.58","1,117.76","1,139.79","1,106.50",,-0.95%
06-01-21,"1,130.48","1,108.08","1,139.47","1,104.69",,2.16%
07-01-21,"1,151.41","1,130.63","1,159.96","1,128",,1.85%
08-01-21,"1,158.73","1,151.90","1,184.85","1,139.91",,0.64%
09-01-21,"1,184.23","1,158.95","1,192.41","1,152.54",,2.20%
10-01-21,"1,174.47","1,184.78","1,200.90","1,163.75",,-0.82%
11-01-21,"1,182.71","1,174.61","1,196.56","1,173.18",,0.70%
12-01-21,"1,187.96","1,182.84","1,193.81","1,172.62",,0.44%
01-01-22,"1,204.63","1,189.80","1,213.86","1,184.04",,1.40%
02-01-22,"1,200.12","1,204.75","1,211.47","1,189.64",,-0.37%
03-01-22,"1,214.17","1,201.18","1,247.35","1,197.68",,1.17%
04-01-22,"1,263.03","1,215.13","1,276.56","1,210.31",,4.02%
05-01-22,"1,242.26","1,264.65","1,293.14","1,234.43",,-1.64%
06-01-22,"1,287.51","1,242.48","1,307.92","1,238.47",,3.64%
07-01-22,"1,302.97","1,288.05","1,329.58","1,287.80",,1.20%
08-01-22,"1,341.19","1,303.29","1,353.54","1,294.54",,2.93%
09-01-22,"1,439.96","1,341.76","1,445.64","1,341.10",,7.36%
10-01-22,"1,425.83","1,440.23","1,446.62","1,397.24",,-0.98%
11-01-22,"1,301.65","1,427.03","1,429.63","1,300.60",,-8.71%
12-01-22,"1,260.92","1,301.72","1,326.55","1,253.26",,-3.13%
01-01-23,"1,233.30","1,261.95","1,281.26","1,224.96",,-2.19%
02-01-23,"1,323.02","1,233.72","1,327.21","1,215.83",,7.27%
03-01-23,"1,306.11","1,323.44","1,329.78","1,275.81",,-1.28%
04-01-23,"1,337.78","1,306.47","1,346.63","1,294.29",,2.42%
05-01-23,"1,320.56","1,338.17","1,344.13","1,307.65",,-1.29%
06-01-23,"1,315.11","1,322.33","1,325.07","1,265.75",,-0.41%
07-01-23,"1,277.86","1,316.97","1,317.31","1,256.71",,-2.83%
08-01-23,"1,325.14","1,278.28","1,345.77","1,274.88",,3.70%
09-01-23,"1,352.31","1,325.46","1,360.16","1,311.88",,2.05%
10-01-23,"1,352.15","1,352.65","1,364.12","1,335.28",,-0.01%
11-01-23,"1,299.35","1,353.15","1,359.76","1,283.53",,-3.90%
12-01-23,"1,294.40","1,300.91","1,327.93","1,283.82",,-0.38%
01-01-24,"1,333.59","1,294.80","1,350.61","1,290.95",,3.03%
02-01-24,"1,334.78","1,334.46","1,343.97","1,320.36",,0.09%
03-01-24,"1,345.09","1,335.81","1,353.61","1,307.02",,0.77%
04-01-24,"1,385.38","1,346.33","1,400.82","1,342.76",,3%
05-01-24,"1,381.68","1,386.03","1,388.90","1,342.88",,-0.27%
06-01-24,"1,380.73","1,383.10","1,395.87","1,363.15",,-0.07%
07-01-24,"1,369.08","1,381.28","1,392.65","1,366.79",,-0.84%
08-01-24,"1,336.56","1,367.69","1,379.79","1,316.94",,-2.38%
09-01-24,"1,317.01","1,337.57","1,348.53","1,302.94",,-1.46%
10-01-24,"1,372.58","1,317.55","1,394.18","1,315.57",,4.22%
11-01-24,"1,394.67","1,373.79","1,411.95","1,368.59",,1.61%
12-01-24,"1,476.78","1,395.96","1,487.37","1,395.52",,5.89%
01-01-25,"1,457.29","1,478.25","1,478.25","1,426.14",,-1.32%
02-01-25,"1,461.80","1,462.98","1,473.50","1,423.97",,0.31%
03-01-25,"1,473.05","1,461.80","1,477.32","1,437.80",,0.77%
04-01-25,"1,424.69","1,473.05","1,488.32","1,412.39",,-3.28%
05-01-25,"1,382.99","1,424.69","1,439.95","1,359.86",,-2.93%
06-01-25,"1,352.74","1,382.99","1,391.48","1,347.07",,-2.19%
07-01-25,"1,392.47","1,352.78","1,398.87","1,348.55",,2.94%
08-01-25,"1,388.97","1,392.93","1,406.77","1,374.92",,-0.25%
09-01-25,"1,404.14","1,388.97","1,414.47","1,371.94",,1.09%
10-01-25,"1,429.22","1,404.20","1,441.60","1,399.46",,1.79%
11-01-25,"1,467.62","1,429.62","1,480.59","1,425.80",,2.69%
12-01-25,"1,440.62","1,466.30","1,484.71","1,429",,-1.84%
